Member Pending Events Report
Member                Club Number           Event Type Name       Employee Name         Start Date Time       Status Name           
Andy McNeely          3000                  Kick Boxing           Pam Beasley           07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3000                  Personal Training     Pokey Reese           07/10/2014 08:29 AM   Complete              
Andy McNeely          3000                  Zumba                 Ray Orbison           07/10/2014 08:29 AM   Complete              
Andy McNeely          3000                  Kick Boxing           Opie Griffith         07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3000                  Zumba                 Leon Theprofessional  07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Zumba                 Venus Flytrap         07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Personal Training     Marty McFly           07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Personal Training     Ray Orbison           07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3000                  Personal Training     Venus Flytrap         07/10/2014 08:29 AM   Complete              
Andy McNeely          3000                  Zumba                 Ray Orbison           07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Personal Training     Venus Flytrap         07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Zumba                 Pam Beasley           07/10/2014 08:29 AM   Complete              
Andy McNeely          3000                  Personal Training     Venus Flytrap         07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3000                  Kick Boxing           Nathan Lockwood       07/10/2014 08:29 AM   Complete              
Andy McNeely          3000                  Personal Training     Samuel L. Jackson     07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3000                  Personal Training     Kirby Puckett         07/10/2014 08:29 AM   Pending               
Andy McNeely          3000                  Pilates               Samuel L. Jackson     07/10/2014 11:29 AM   Cancelled             
Andy McNeely          3000                  Pilates               Todd Jones            07/10/2014 11:29 AM   Pending               
Andy McNeely          3001                  Zumba                 Marty McFly           07/10/2014 08:28 AM   Pending               
Andy McNeely          3001                  Personal Training     Leon Theprofessional  07/10/2014 08:29 AM   Pending               
Andy McNeely          3001                  Personal Training     Marty McFly           07/10/2014 08:29 AM   Pending               
Andy McNeely          3001                  Pilates               Pokey Reese           07/10/2014 08:29 AM   Pending               
Andy McNeely          3001                  Zumba                 Leon Theprofessional  07/10/2014 08:29 AM   Cancelled             
Andy McNeely          3001                  Kick Boxing           Samuel L. Jackson     07/10/2014 08:29 AM   Pending               
Andy McNeely          3001                  Personal Training     Samuel L. Jackson     07/10/2014 08:29 AM   Complete              
Andy McNeely          3001                  Kick Boxing           Marty McFly           07/10/2014 08:29 AM   Complete              
Andy McNeely          3001                  Zumba                 Leon Theprofessional  07/10/2014 08:29 AM   Complete              
